nm0295826	Cyrus Frisch	1969
nm0135311	Sergio Capogna	1926
nm5866729	Aron Sekelj	1988
nm0054846	Cecil Barker	1916
nm6141995	Luke Lorentzen	1993
nm0359880	Cochin Hanifa	1951
nm3020713	Simon Bird	1984
nm0227483	Ross Dimsey	1943
nm4572522	Lionel Rigal	1975
nm0114818	Tony Brown	1933
nm0464526	Stephan Komandarev	1966
nm0000736	Robert Aldrich	1918
nm0208111	Frederick De Cordova	1910
nm0499722	Maurice Lehmann	1895
nm2152365	Les Stroud	1961
nm2427071	Cassie Hay	1982
nm1076635	Gustavo Alex Giannini	1968
nm8765689	Clément Safra	1987
nm4821309	Orçun Benli	1980
nm0679129	Vivian Peï	1943
nm1375024	Alejandro Fadel	1981
nm0412048	Igor Ivanov Izi	1973
nm0576495	Vinod Mehra	1945
nm0693461	Wallace Potts	1947
nm0529289	Elia Lyssy	1968
nm0550912	Herbert Marshall	1906
nm0086163	Mickey Blaine	1974
nm0000149	Jodie Foster	1962
nm0583302	Otto Meyer	1910
nm0003282	Antonio Adamo	1957
nm0252655	El Gran Wyoming	1955
nm0917188	Chris Wedge	1957
nm2810280	Marc Fienberg	1980
nm0096918	Merete Borker	1945
nm0198432	Eileen Daly	1963
nm0408492	Ágnes Incze	1955
nm0083111	Jodi Binstock	1959
nm1112250	William A. Baker	1956
nm4139243	Alexander Costea	1982
nm4247084	Hesam Dehghani	1977
nm0511452	Axel Lindblom	1891
nm0190706	László Cserépy	1907
nm3738005	Mariana Mo Jäger	1985
nm5037061	Otgonzorig Batchuluun	1980
nm0603217	Miguel Morayta	1907
nm3797727	J.A. Worthington	1986
nm0670549	Antti Peippo	1934
nm0293272	Al Freeman Jr.	1931
nm2476648	Heixan Robles	1978
nm0347771	Campbell Gullan	1881
nm0877913	Tina Turner	1939
nm0609741	Luc Moullet	1937
nm0902947	Baldur von Schirach	1907
nm3693802	Gerard Lough	1978
nm1318214	Angelo Abela	1962
nm0001834	Damon Wayans	1960
nm3211338	Theresa Henning	1984
nm0079273	Paul Bettany	1971
nm0611652	Edoardo Mulargia	1925
nm0205223	Nick Davis	1965
nm5696962	Takashi Innami	1970
nm0208013	Ghigo De Chiara	1921
nm1227942	Omar Khlifi	1934
